School Name,Organization,Type,Fees,Principal Name,Location
The Educators - Alamdar Campus,Private,Co Education,5000,,"https://www.google.com/maps/place/The+Educators+-+Alamdar+Campus/@30.1890227,67.0266793,15z/data=!4m5!3m4!1s0x0:0xfade87a9b05b31a!8m2!3d30.1890227!4d67.0266793"
"F.g. Public School (boys) Tufail Road , Quetta",Private,For Boys,3000,,"https://www.google.com/maps/place/FG+Public+School+Boys+Madrassa+Road+Quetta+Cantt/@30.202874,67.0341439,15z/data=!4m5!3m4!1s0x0:0x824bcf39d4ca6fae!8m2!3d30.202874!4d67.0341439"
"Green House Grammar High School, QUETTA",Private,Co Education,2000,,"https://www.google.com/maps/place/Green+House+Grammar+High+School/@30.1810359,67.0093576,15z/data=!4m5!3m4!1s0x0:0x5b2c490a256df19!8m2!3d30.1810359!4d67.0093576"
Police Grammar High School,Private,Co Education,3000,,"https://www.google.com/maps/place/Police+Grammar+School+Quetta+cantt/@30.2004278,67.0257224,15z/data=!4m5!3m4!1s0x0:0xcb81a6c0177d5c6d!8m2!3d30.2004278!4d67.0257224"
Government Girls High School,Government,For Girls,5000,,"https://www.google.com/maps/place/Government+Girls+High+School/@30.191086,66.9884551,17z/data=!3m1!4b1!4m5!3m4!1s0x3ed2e09b087da66d:0x274d80be1511dcf9!8m2!3d30.1910814!4d66.9906438"
"Govt Boys High School, Quetta",Government,For Boys,4000,,"https://www.google.com/maps/place/Govt+Boys+High+School/@30.1430176,67.0071313,17z/data=!3m1!4b1!4m5!3m4!1s0x3ed2dd3c21707209:0x40d85872939861ba!8m2!3d30.143013!4d67.00932"
Government boys high school Kaichi Baig,Government,For Boys,2000,,"https://www.google.com/maps/place/Government+boys+high+school+Kaichi+Baig/@30.1284106,66.9709893,15z/data=!4m5!3m4!1s0x0:0x4b31801bee490827!8m2!3d30.1284106!4d66.9709893"
ibn-e-sina public high school quetta ,Private,,4000,,"https://www.google.com/maps/place/Ibn-e-sina+Public+High+School/@30.2395532,67.0113638,15.75z/data=!4m5!3m4!1s0x0:0x1e346285a7b265f9!8m2!3d30.2394078!4d67.014648"
Al-Mustafa Public High School,,Co Education,6000,,"https://www.google.com/maps/place/AL-Mustafa+Public+High+School,+Quetta,+Balochistan/@30.1944969,67.0230674,16.85z/data=!4m5!3m4!1s0x3ed2de472ace07df:0xb33a4249e35d61cc!8m2!3d30.1946556!4d67.0254687"
A-one City Model High School,Private,,4000,,"https://www.google.com/maps/place/A-one+City+Model+High+School/@30.1887333,66.9700401,15z/data=!4m2!3m1!1s0x0:0x384910113457cf7c?sa=X&ved=2ahUKEwjKzPj66t3pAhXFzIUKHT8UCPQQ_BIwG3oECBAQCA"
